hole_id,fail_in_1,fail_in_3,fail_in_5,mfcc_1_mean,mfcc_1_std,mfcc_1_min,mfcc_1_max,mfcc_2_mean,mfcc_2_std,mfcc_2_min,mfcc_2_max,mfcc_3_mean,mfcc_3_std,mfcc_3_min,mfcc_3_max,mfcc_4_mean,mfcc_4_std,mfcc_4_min,mfcc_4_max,mfcc_5_mean,mfcc_5_std,mfcc_5_min,mfcc_5_max,mfcc_6_mean,mfcc_6_std,mfcc_6_min,mfcc_6_max,mfcc_7_mean,mfcc_7_std,mfcc_7_min,mfcc_7_max,mfcc_8_mean,mfcc_8_std,mfcc_8_min,mfcc_8_max,mfcc_9_mean,mfcc_9_std,mfcc_9_min,mfcc_9_max,mfcc_10_mean,mfcc_10_std,mfcc_10_min,mfcc_10_max,mfcc_11_mean,mfcc_11_std,mfcc_11_min,mfcc_11_max,mfcc_12_mean,mfcc_12_std,mfcc_12_min,mfcc_12_max,mfcc_13_mean,mfcc_13_std,mfcc_13_min,mfcc_13_max,mfcc_14_mean,mfcc_14_std,mfcc_14_min,mfcc_14_max,mfcc_15_mean,mfcc_15_std,mfcc_15_min,mfcc_15_max,mfcc_16_mean,mfcc_16_std,mfcc_16_min,mfcc_16_max,mfcc_17_mean,mfcc_17_std,mfcc_17_min,mfcc_17_max,mfcc_18_mean,mfcc_18_std,mfcc_18_min,mfcc_18_max,mfcc_19_mean,mfcc_19_std,mfcc_19_min,mfcc_19_max,mfcc_20_mean,mfcc_20_std,mfcc_20_min,mfcc_20_max
1,0.0,0.0,0.0,-505.70242,76.28516,-639.93604,-404.02853,128.47342,16.952826,78.36392,171.06842,-58.14682,28.01816,-114.89797,-0.7932346,5.7024364,9.537638,-26.872314,33.64819,-20.682373,9.239049,-54.648575,11.2319145,27.773315,7.3386426,2.5463715,57.473534,5.343962,6.7587013,-19.158588,32.48757,6.894666,16.949133,-35.639435,44.45099,7.901858,7.4593534,-19.201036,34.06627,1.893155,6.546832,-25.806664,25.621477,-17.20041,8.520557,-45.405476,8.241932,4.2022796,6.7720866,-21.9163,32.315323,-14.767499,7.936436,-39.981003,13.170149,-18.13891,6.1963153,-43.628273,6.3553195,-6.893461,8.967916,-33.859795,20.039854,-13.466231,5.6478834,-33.480686,7.121525,3.7013435,5.7964606,-17.788908,25.08026,-4.713094,10.361489,-33.59281,29.835627,-14.849668,7.6772904,-42.974392,13.716268,9.966544,5.437525,-12.614746,33.247486
2,0.0,0.0,0.0,-505.02545,71.72958,-637.0897,-402.248,126.313034,18.693876,77.85394,183.1241,-62.750668,25.174896,-117.778175,-7.4755955,5.3370557,9.369579,-30.136528,46.8637,-26.001532,7.946775,-63.144073,7.0680637,25.895432,6.3819704,-4.7358313,59.063393,3.871017,7.1357665,-22.28747,36.72709,5.430009,17.715616,-39.032253,39.645065,4.9054227,7.263401,-25.361805,40.485863,-0.2634973,5.959868,-22.248768,23.823845,-18.67599,8.483456,-47.49335,7.6083765,3.7709348,6.5506268,-23.810532,28.085964,-17.11016,7.167614,-43.126076,8.4104595,-18.899065,6.1943417,-44.928864,5.65991,-8.597235,8.586415,-36.186447,22.225998,-13.41622,5.703972,-34.889248,8.917833,5.4349847,5.620026,-20.14189,27.179825,-6.7672553,9.724968,-33.194336,26.477665,-13.990899,8.18483,-41.791927,10.813214,10.138785,5.463988,-9.247132,29.789288
3,0.0,0.0,0.0,-511.5629,68.878456,-644.9443,-376.03412,125.13664,19.124388,42.019394,184.93668,-58.10539,22.185793,-107.846375,-9.50453,7.235907,8.265348,-26.417194,35.73725,-29.929842,8.39677,-62.412865,4.0784216,27.439861,6.8348413,1.2209039,60.886337,4.190599,7.595669,-35.28044,31.29396,6.2158394,17.505617,-38.844753,45.663864,1.0806093,7.6423745,-35.08739,30.876053,-0.9501095,6.1507144,-24.400757,24.17384,-18.585802,9.075003,-48.619804,8.684481,4.901237,6.1264167,-23.897434,28.061415,-16.88327,6.7976513,-43.503963,10.58936,-22.46506,7.1992016,-50.678772,2.0543408,-8.887745,8.384424,-37.90075,20.147114,-12.164999,5.8036604,-34.40364,10.555339,6.987737,5.9799604,-20.214077,28.617302,-6.3944464,9.567304,-35.993927,22.988201,-16.225098,7.3816066,-44.339027,8.301983,10.495707,5.887542,-12.996002,39.915947
4,0.0,0.0,0.0,-502.66583,62.231197,-643.5445,-410.60477,126.97803,17.920492,65.49543,189.62543,-56.68941,18.9919,-110.35858,-5.733309,6.3000784,7.5948005,-25.944546,41.685303,-31.74732,8.004077,-61.46785,2.3634753,26.521212,6.7770343,-9.603863,58.700336,5.6762943,7.2038083,-30.755342,33.409256,8.132817,16.549515,-40.368427,38.42746,-0.52575475,8.390527,-39.449245,29.543653,-3.4028406,6.1625414,-28.220007,28.852936,-17.434227,7.9216223,-45.423542,7.2999897,5.2357984,5.9054627,-17.496958,24.730236,-17.112411,7.013659,-40.568,8.918693,-23.630413,6.853666,-52.3835,1.1128787,-9.906945,8.775579,-40.217583,20.978401,-11.45119,6.2687845,-33.574352,12.720228,8.694659,5.8486953,-15.51006,31.001282,-7.386453,9.1323395,-35.838516,27.086006,-17.379528,6.558321,-39.684498,8.581644,10.877423,5.452401,-9.780639,30.7062
5,0.0,0.0,0.0,-469.2452,11.922345,-525.4821,-387.9064,130.18994,17.30679,35.744957,171.13748,-67.42186,11.319206,-114.76173,-12.876828,7.4024143,7.165762,-21.041878,28.078287,-36.29868,6.892568,-62.590187,-11.267874,27.167988,7.0546603,4.263021,59.93397,5.8782053,7.480504,-29.489832,31.773407,15.974005,6.4097934,-5.8620076,42.861496,-4.3442187,7.7463465,-35.862766,17.92527,-4.3571625,5.987872,-25.903364,18.443134,-16.678617,5.9156117,-35.63362,7.5393715,4.97252,5.7479854,-19.209087,26.0341,-20.922688,5.752016,-42.06104,2.4676805,-23.684645,6.7087793,-50.524445,-1.0915079,-14.639823,5.8594003,-34.679733,8.152899,-10.615158,6.2535033,-31.389912,14.470294,10.901068,5.9048615,-10.38148,31.95477,-9.444587,5.9338894,-32.815994,21.153263,-16.26896,6.0241017,-42.597824,5.8702307,10.54369,5.583766,-8.831858,34.018036
6,0.0,0.0,0.0,-502.75415,64.95896,-640.603,-347.66666,116.973785,24.834177,12.162864,176.26103,-53.568024,18.566204,-108.781425,10.42637,4.893133,9.637519,-38.27796,55.70992,-32.579548,7.9217987,-57.54603,7.821044,29.344809,8.580493,-1.7534002,66.95548,1.1313634,9.84623,-55.736107,30.296864,9.093575,17.519375,-37.348995,52.648026,-3.96055,9.840469,-42.062183,36.89682,-3.8933647,6.571096,-28.6479,24.416874,-18.543549,8.672445,-46.008022,14.623892,4.068942,6.6312194,-23.100243,32.691967,-17.228352,7.126428,-43.199394,10.910505,-24.178177,7.288008,-55.64109,3.7902753,-9.739694,8.112795,-40.015236,17.962957,-11.593363,6.896631,-37.36442,24.479319,8.980168,7.718488,-28.947819,33.659172,-2.8915076,8.372353,-29.622143,27.16497,-18.443241,7.282415,-47.479797,8.026836,8.924373,6.137005,-16.089788,33.80941
7,0.0,0.0,0.0,-505.02017,65.83662,-644.7761,-347.34033,116.88808,20.10247,9.399568,163.93706,-57.420338,18.575872,-106.677124,0.3026631,6.7122045,9.661258,-36.095703,35.190567,-33.353737,7.7888174,-62.307335,-4.8832636,30.445873,8.227574,1.7898824,60.84497,-0.5351425,9.186994,-45.813866,25.811573,8.197752,18.018192,-38.23053,55.936028,-4.2916074,9.7038355,-48.143536,31.825563,-1.2899878,6.360165,-24.811636,24.290443,-21.653769,7.800061,-48.405067,18.10526,5.9891787,6.6967874,-20.625208,36.120407,-20.66868,7.1822066,-46.486946,5.6025743,-23.44442,7.35224,-53.73517,-1.1040325,-9.556832,8.1807575,-32.327766,20.134773,-11.181587,6.5014615,-37.15722,15.490517,10.905681,6.8556833,-19.62186,40.440407,-3.3078802,8.46655,-35.442715,28.021965,-17.611948,6.995415,-43.002304,8.19509,6.727753,5.8635125,-18.282137,32.850395
8,0.0,0.0,0.0,-500.8311,66.71165,-638.8545,-339.81924,112.080635,24.786661,-2.247963,179.44382,-55.349106,19.209097,-101.24932,0.96906686,5.0378275,9.836788,-36.81945,45.93789,-27.370268,7.5903187,-55.266968,0.9655477,31.522232,9.174658,-2.5665727,64.0712,-2.335177,10.526503,-49.13896,32.241833,5.3472657,17.367428,-40.059883,52.950737,-4.2590604,10.761673,-43.224472,36.129276,-1.7252026,6.495521,-27.591167,25.004707,-18.51731,8.43037,-44.745735,12.424993,4.1625686,6.673822,-23.05814,28.9743,-20.551857,7.71507,-49.97226,7.398924,-22.012316,6.950013,-47.258213,9.438325,-9.100163,7.3385444,-48.69031,17.080357,-10.221615,6.933292,-34.35664,19.707592,9.36908,7.917733,-29.047693,33.46765,-4.091459,8.795254,-33.19243,26.21075,-16.231565,7.115829,-41.698936,7.905388,5.5793943,6.1368256,-16.933687,33.41366
9,0.0,0.0,0.0,-506.5423,67.19247,-642.95435,-339.95102,110.06236,25.900698,1.9616859,181.99696,-56.442013,19.012264,-110.72661,10.783149,6.05629,10.14348,-40.317047,43.774864,-28.258457,7.3628907,-55.82718,1.1320748,34.54873,9.127205,-16.618698,74.27327,-5.1976433,10.894052,-53.390144,24.00967,2.9149652,17.07837,-42.148468,53.016747,-4.0904956,10.38811,-43.11893,35.179398,-0.78107756,6.5139217,-24.983204,29.023972,-18.692888,8.385187,-51.841137,11.210068,5.569181,7.030498,-26.522287,29.26054,-21.276146,8.397718,-53.99842,8.595307,-22.933662,6.9405518,-48.641098,0.005720675,-7.6174436,7.600668,-37.034584,19.487888,-10.568669,7.118073,-37.257896,16.986856,7.171984,7.9443316,-32.884033,32.437588,-2.519334,8.392455,-27.90144,28.369541,-17.337065,7.2021194,-46.097443,7.314849,7.3929024,6.267944,-14.9168,34.609837
10,0.0,0.0,0.0,-495.76852,76.33352,-642.8799,-299.3119,96.90153,32.199825,-26.532986,158.3686,-54.7057,18.753693,-112.79245,4.6317496,2.9230015,10.092191,-39.971592,49.911953,-25.700653,8.070622,-53.766285,10.816119,35.49112,10.086633,4.082788,68.61005,-7.6570177,13.793644,-53.362236,25.856606,4.5821486,18.778025,-40.88097,50.50148,-6.474076,11.776631,-48.163708,24.20379,-0.16184537,7.283356,-27.792923,33.484528,-17.049103,9.37402,-44.634926,18.229067,5.3716784,6.9303465,-23.96511,29.470013,-22.46707,9.61122,-62.69257,4.351514,-22.609312,7.88418,-55.875557,5.4378824,-6.708806,8.125222,-33.574905,23.88042,-9.757713,7.5157723,-36.37828,22.681387,6.18981,9.58969,-42.206734,33.91964,-2.6032534,9.647809,-34.987812,35.43035,-16.871567,7.677932,-50.43837,7.7224703,6.4818373,6.2027073,-16.926702,33.848946
